"title","genre","rating"
"Unorthodox","Drama",8
"GLOW","Comedy, Drama, Sport",8
"Shooter","Action, Drama",7.5
"Love","Comedy, Drama, Romance",7.7
"Iron Fist","Action, Adventure, Crime",6.5
"Äärmiselt nurjatu, uskumatult õel ja jäle","Biography, Crime, Drama",6.7
"Russian Doll","Adventure, Comedy, Drama",7.9
"Kill Bill - pruudi kättemaks, vol 2","Action, Crime, Thriller",8
"Põgenemistuba","Action, Adventure, Horror",6.4
"Dirk Gently's Holistic Detective Agency","Action, Adventure, Comedy",8.3
"Disenchantment","Animation, Action, Adventure",7.2
"Fractured","Mystery, Thriller",6.4
"Dad Stop Embarrassing Me","Comedy, Family",4.1
"We Can Be Heroes","Action, Comedy, Drama",4.7
"A Week Away","Drama, Family, Musical",5.7
"Spenser Confidential","Action, Comedy, Crime",6.2
"Tribes of Europa","Action, Adventure, Drama",6.7
"Nüüd sa näed mind 2","Action, Adventure, Comedy",6.5
"A Series of Unfortunate Events","Adventure, Comedy, Drama",7.8
"MILF","Comedy",4.7
"Henry Danger","Action, Comedy, Family",5.6
"This Is England","Crime, Drama",7.7
"Timeless","Action, Adventure, Drama",7.7
"In the Shadow of the Moon","Crime, Mystery, Sci-Fi",6.2
"Ride or Die","Drama, Romance, Thriller",5.5
"Fantasy Island","Action, Adventure, Fantasy",4.9
"His House","Drama, Horror, Thriller",6.5
"Madam Secretary","Drama",7.6
"Gerald's Game","Drama, Horror, Thriller",6.5
"Läbi tule ja vee","Action, Crime, Drama",7.6
"The Spy","Drama, History",7.9
"Z Nation","Action, Comedy, Drama",6.7
"Poketto monsut<U+00E2>","Animation, Action, Adventure",7.5
"The Order","Drama, Fantasy, Horror",6.8
"The Babysitter","Comedy, Horror",6.3
"Sword Art Online","Animation, Action, Adventure",7.6
"Geostorm","Action, Sci-Fi, Thriller",5.3
"Naistevangla","Drama, Thriller",8.2
"Sweet Home","Drama, Fantasy, Horror",7.4
"Warrior Nun","Action, Drama, Fantasy",6.8
"Step Up","Crime, Drama, Music",6.5
"Lucy","Action, Sci-Fi, Thriller",6.4
"Tales of the City","Drama",7.4
"Kingdom","Action, Drama, Horror",8.4
"Hunt for the Wilderpeople","Adventure, Comedy, Drama",7.9
"Deadly Illusions","Drama, Thriller",3.6
"Happy Valley","Crime, Drama",8.4
"Sky Rojo","Action, Adventure, Crime",6.4
"The Society","Drama, Mystery, Sci-Fi",7.1
"Gilmore Girls: A Year in the Life","Comedy, Drama",7.6
"The Missing","Crime, Drama, Mystery",8.2
"Versailles","Biography, Drama, History",7.9
"Raising Dion","Drama, Sci-Fi",7.2
"Unbreakable Kimmy Schmidt","Comedy",7.6
"Printsess Mononoke","Animation, Action, Adventure",8.4
"Safe","Crime, Drama, Mystery",7.3
"Vangla valitseja","Crime, Drama, Thriller",7.3
"Guernsey Kirjandus- ja Kartulikoorepiruka Selts","Drama, Romance, War",7.4
"Suite Fran<U+00E7>aise","Drama, Romance, Thriller",7
"Malcolm & Marie","Drama, Romance",6.7
"Seungriho","Action, Adventure, Drama",6.6
"Family Reunion","Comedy",6.5
"Evil","Crime, Drama, Horror",7.7
"Formula 1: Drive to Survive","Documentary, Sport",8.7
"Impractical Jokers","Comedy, Reality-TV",8.6
"Lilo & Stitch","Animation, Adventure, Comedy",7.2
"Marco Polo","Adventure, Drama, History",8
"Barbarians","Action, Adventure, Drama",7.2
"The Kissing Booth","Comedy, Romance",6
"Hommikueine Tiffany juures","Comedy, Drama, Romance",7.6
"K<U+00F4>do giasu - Hangyaku no rur<U+00FB>shu: Code Geass - Lelouch of the Rebellion","Animation, Action, Drama",8.6
"Triple Frontier","Action, Adventure, Crime",6.4
"Fatal Attraction","Drama, Thriller",6.9
"Durante la tormenta","Drama, Fantasy, Mystery",7.4
"Firma","Drama, Mystery, Thriller",6.8
"Rango","Animation, Adventure, Comedy",7.2
"The Babysitter: Killer Queen","Comedy, Horror",5.8
"Ainus ellujäänu","Action, Biography, Drama",7.5
"Project Power","Action, Crime, Sci-Fi",6
"Rosemary's Baby","Drama, Horror",8
